frame,time_seconds,track_id,u,v,bbox_x1,bbox_y1,bbox_x2,bbox_y2,score
600,10.000000,0,1157.87,1024.36,1071.32,662.51,1244.43,1024.36,0.901
601,10.016667,0,1156.97,1025.68,1069.76,663.86,1244.17,1025.68,0.906
602,10.033333,0,1156.50,1024.12,1066.62,663.24,1246.37,1024.12,0.910
603,10.050000,0,1156.84,1028.57,1066.24,665.10,1247.43,1028.57,0.910
604,10.066667,0,1154.66,1024.11,1061.58,665.43,1247.73,1024.11,0.905
605,10.083333,0,1155.04,1026.87,1061.65,665.24,1248.44,1026.87,0.898
606,10.100000,0,1152.77,1026.49,1058.64,665.84,1246.91,1026.49,0.911
607,10.116667,0,1150.54,1024.18,1056.49,665.66,1244.59,1024.18,0.910
608,10.133333,0,1148.27,1022.71,1055.38,665.25,1241.15,1022.71,0.917
609,10.150000,0,1146.09,1021.40,1055.19,664.00,1236.99,1021.40,0.921
610,10.166667,0,1143.13,1018.96,1052.48,663.13,1233.78,1018.96,0.915
611,10.183333,0,1141.09,1019.18,1052.10,663.73,1230.09,1019.18,0.916
612,10.200000,0,1139.57,1016.67,1051.65,664.43,1227.49,1016.67,0.914
613,10.216667,0,1136.79,1015.00,1050.44,665.78,1223.14,1015.00,0.907
614,10.233333,0,1133.29,1016.03,1049.81,664.07,1216.76,1016.03,0.894
615,10.250000,0,1131.85,1014.69,1050.08,664.18,1213.63,1014.69,0.889
616,10.266667,0,1130.75,1013.32,1051.04,663.19,1210.46,1013.32,0.893
617,10.283333,0,1128.70,1012.42,1051.41,659.90,1205.98,1012.42,0.888
618,10.300000,0,1126.43,1005.47,1051.04,658.99,1201.81,1005.47,0.887
619,10.316667,0,1125.53,1002.90,1051.80,658.51,1199.26,1002.90,0.883
620,10.333333,0,1123.54,994.32,1053.79,657.34,1193.30,994.32,0.865
621,10.350000,0,1122.71,986.76,1055.11,657.95,1190.32,986.76,0.882
622,10.366667,0,1120.50,986.46,1055.34,657.72,1185.66,986.46,0.883
623,10.383333,0,1118.40,989.83,1056.37,656.68,1180.44,989.83,0.884
624,10.400000,0,1115.57,986.11,1057.10,654.71,1174.04,986.11,0.868
625,10.416667,0,1115.09,989.44,1059.17,653.68,1171.01,989.44,0.868
626,10.433333,0,1113.35,988.19,1058.96,650.66,1167.73,988.19,0.851
627,10.450000,0,1111.42,989.39,1056.81,649.23,1166.04,989.39,0.854
628,10.466667,0,1110.18,991.22,1056.15,649.61,1164.22,991.22,0.855
629,10.483333,0,1107.54,989.56,1053.87,650.89,1161.21,989.56,0.857
630,10.500000,0,1106.35,984.14,1051.97,650.70,1160.72,984.14,0.857
631,10.516667,0,1103.53,983.79,1049.22,650.30,1157.84,983.79,0.865
632,10.533333,0,1101.21,985.48,1047.27,651.07,1155.15,985.48,0.868
633,10.550000,0,1099.22,985.29,1044.27,651.12,1154.17,985.29,0.867
634,10.566667,0,1095.37,985.57,1038.13,652.77,1152.62,985.57,0.877
