PosX,PosY,PosZ,QuatX,QuatY,QuatZ,QuatW,EulerZ,EulerY,EulerX,TimeSeconds,FOV,LensZoom
-0.035362795,1.3874232,0.03826284,-0.009472591,0.033495396,0.012952,0.9993101,1.523095,3.824422,358.8629,1.8166666666802485,1.1413158,1495.5668

-0.0354989,1.3875382,0.03844109,-0.0095802555,0.033340316,0.013029378,0.9993132,1.532195,3.8063903,358.85052,1.8333333333430346,1.1413158,1495.5668

-0.035519138,1.387631,0.038575396,-0.009492817,0.033194434,0.013082018,0.99931824,1.5377221,3.7897408,358.8606,1.8500000000058208,1.1413158,1495.5668

-0.035492122,1.3877144,0.03869532,-0.009459954,0.03303863,0.013138686,0.99932295,1.5439087,3.771866,358.86444,1.866666666668607,1.1413158,1495.5668

-0.035439923,1.3877761,0.038825717,-0.009527406,0.03298651,0.013216461,0.999323,1.5530257,3.7656977,358.85648,1.883333333331393,1.1413158,1495.5668

-0.03536974,1.387819,0.038976267,-0.009708594,0.033109352,0.013287637,0.9993163,1.5620351,3.7794156,358.8352,1.8999999999941792,1.1413158,1495.5668

-0.03538621,1.387784,0.038336378,-0.010123175,0.033303335,0.013301663,0.9993055,1.5654706,3.800988,358.78723,1.9166666666569654,1.1413158,1495.5668

-0.035342887,1.3877777,0.038178343,-0.010362457,0.033409707,0.013284039,0.99929976,1.5645019,3.812829,358.75967,1.9333333333197515,1.1413158,1495.5668

-0.035289068,1.3877891,0.038180277,-0.010451641,0.033436686,0.013251,0.99929833,1.5610869,3.815823,358.7495,1.9500000000116415,1.1413158,1495.5668

-0.035229746,1.3878148,0.038231254,-0.010543332,0.033327203,0.013180716,0.99930197,1.55322,3.803218,358.73944,1.9666666666744277,1.1413158,1495.5668

-0.03515973,1.3878514,0.038323496,-0.010621117,0.033154458,0.013066314,0.9993084,1.5401474,3.7834399,358.73123,1.9833333333372138,1.1413158,1495.5668

