frame,time_seconds,track_id,u,v,world_x,world_y,world_z,cam_pos_x,cam_pos_y,cam_pos_z
511,8.516667,0,1483.22,1144.35,-4.194307953244143,0.0,-59.31099724273517,-0.0426510730529322,1.3895152004760054,0.047591887602912
512,8.533333,0,1479.75,1141.63,-4.198365274327138,0.0,-59.31099724273517,-0.0427037169471045,1.389538999524011,0.0474720393970041
513,8.55,0,1477.0,1142.62,-4.201921257209261,0.0,-59.02464752348341,-0.0426450899999317,1.389537099999986,0.0474520770000051
514,8.566667,0,1473.52,1145.4,-4.206269531461178,0.0,-59.01838844668697,-0.0425473077281525,1.3895169992520304,0.0474594571884923
515,8.583333,0,1469.09,1138.75,-4.21746258850806,0.0,-58.87916733865692,-0.0424337152720061,1.389479600748022,0.0474688818114945
516,8.6,0,1463.29,1134.0,-4.223810414268973,0.0,-58.84921427054356,-0.0423126100000423,1.3894343000000158,0.0474810499999957
517,8.616667,0,1456.58,1130.67,-4.226220593174495,0.0,-58.793127037266906,-0.0425363100712395,1.3896145006519962,0.0473768923928635
518,8.633333,0,1446.94,1121.17,-4.244829110760787,0.0,-58.75174477111085,-0.0425398719287604,1.3896470993480037,0.0473465366071364
519,8.65,0,1438.91,1118.46,-4.2455526290826455,0.0,-58.330367903025774,-0.0424719399999669,1.3896507000000051,0.0473440800000027
520,8.666667,0,1431.23,1118.43,-4.2455526290826455,0.0,-58.330367903025774,-0.0423772909019389,1.3896652005080148,0.0473520904202122
521,8.683333,0,1420.77,1111.25,-4.2455526290826455,0.0,-58.330367903025774,-0.0422723950979145,1.3896905994920208,0.0473730995798171
522,8.7,0,1411.9,1107.64,-4.247898975576859,0.0,-58.330367903025774,-0.0421521600000839,1.389723799999977,0.047420281999967
523,8.716667,0,1402.07,1103.16,-4.253576594218487,0.0,-58.330367903025774,-0.0423104289869235,1.389988102061952,0.0474564510139763
524,8.733333,0,1392.09,1100.79,-4.254526710798799,0.0,-58.28611033243652,-0.0422597760131117,1.390091197937976,0.0475071489859881
525,8.75,0,1386.12,1093.8,-4.255440504363554,0.0,-58.244100281957984,-0.04214349,1.3901362,0.04756237
526,8.766667,0,1381.31,1099.59,-4.263751609462719,0.0,-58.244100281957984,-0.0420082741610669,1.390163800498006,0.0476043500738008
527,8.783333,0,1378.17,1099.57,-4.264570584378542,0.0,-58.244100281957984,-0.0418663348388338,1.3901886995020116,0.0476080399262017
528,8.8,0,1376.38,1103.64,-4.270759695826008,0.0,-58.244100281957984,-0.0417177680002245,1.3902210000001851,0.047578442999951
529,8.816667,0,1374.83,1104.21,-4.321890589062038,0.0,-58.244100281957984,-0.0420392166804922,1.3904864023579038,0.0475083014658025
530,8.833333,0,1374.42,1103.66,-4.32555840491863,0.0,-58.244100281957984,-0.0420732413194601,1.3906042976419313,0.0474315915343046
531,8.85,0,1370.97,1103.81,-4.3263021207551065,0.0,-58.244100281957984,-0.0420202280000185,1.3906704999999768,0.0473680800000221
532,8.866667,0,1370.17,1103.89,-4.329021204843234,0.0,-58.244100281957984,-0.0419520586706077,1.3907108005299968,0.0473033783344696
533,8.883333,0,1368.73,1102.28,-4.334553428215598,0.0,-58.28611033243652,-0.0418855913293922,1.3907372994700031,0.0472201046655303
534,8.9,0,1365.32,1104.5,-4.339916198812359,-2.220446049250313e-16,-58.330367903025774,-0.0418213830000807,1.3907487000000036,0.0470984840000284
535,8.916667,0,1362.48,1109.62,-4.388868312118833,0.0,-58.71813272304069,-0.042052610998429,1.3907585997719931,0.0471798385830987
536,8.933333,0,1359.37,1111.69,-4.455584008088358,0.0,-58.75174477111085,-0.0421025290016406,1.3907472002279908,0.0471089984168022
537,8.95,0,1356.44,1110.47,-4.463770387910278,0.0,-58.77662831398574,-0.0420832500000134,1.390712700000024,0.0469830780000879
538,8.966667,0,1354.56,1109.72,-4.4663778064932185,0.0,-59.78535490523676,-0.0420401390208228,1.3906697990240229,0.0468431422391642
539,8.983333,0,1352.68,1108.74,-4.471458288178236,0.0,-59.99855938676617,-0.0419911809792114,1.3906210009760114,0.0467051027609321
540,9.0,0,1347.29,1106.28,-4.486519885730691,0.0,-60.06046369595481,-0.041943282,1.3905773,0.046561964
541,9.016667,0,1345.27,1104.04,-4.493129749782579,0.0,-60.35393486067164,-0.0420675437886491,1.390311098195979,0.0468794485061258
542,9.033333,0,1341.78,1101.67,-4.505286280346271,0.0,-60.38287826699001,-0.0421069742113783,1.3902209018039582,0.0469047534938917
543,9.05,0,1338.4,1101.51,-4.519848788668919,0.0,-60.50944609441295,-0.042121574000004,1.390197900000003,0.0468371399999251
544,9.066667,0,1335.26,1097.04,-4.524959791700421,0.0,-60.55518985322323,-0.0421273199217431,1.3902025001899925,0.0467299475387602
545,9.083333,0,1331.55,1093.34,-4.5297241271362445,0.0,-60.601214813127335,-0.0421234070782622,1.3902119998099944,0.0466068854614116
546,9.1,0,1329.76,1092.61,-4.530662596354743,0.0,-60.660230533879215,-0.0421136060000034,1.390217699999998,0.0464900170000408
547,9.116667,0,1326.76,1094.76,-4.539068453725918,0.0,-60.77279250001733,-0.0423463156391104,1.389905197780013,0.0466670103762378
548,9.133333,0,1324.11,1094.38,-4.547372844739349,0.0,-60.86566038235797,-0.0424282683608895,1.3897942022199872,0.0466858216237622
549,9.15,0,1322.14,1090.16,-4.547372844739349,0.0,-60.86566038235797,-0.0424635500000106,1.3897474999999948,0.0466642039999913
550,9.166667,0,1319.28,1086.9,-4.547372844739349,0.0,-60.86566038235797,-0.0424941637262211,1.3897330000580017,0.046639434486685
551,9.183333,0,1315.15,1084.08,-4.547372844739349,0.0,-60.86566038235797,-0.0425304722738295,1.3897358999420024,0.046613770513279
552,9.2,0,1313.87,1078.43,-4.547372844739349,0.0,-60.86566038235797,-0.0425654049999755,1.3897435999999947,0.0465796400000238
553,9.216667,0,1310.93,1075.37,-4.547372844739349,0.0,-60.86566038235797,-0.0426749374070472,1.3895083986880306,0.0466922820876979
554,9.233333,0,1308.49,1069.83,-4.547372844739349,0.0,-60.86566038235797,-0.0427452885929036,1.3894428013120153,0.0466966669122989
555,9.25,0,1301.66,1061.93,-4.547372844739349,0.0,-60.86566038235797,-0.04282163,1.3894325,0.04666272
556,9.266667,0,1296.37,1057.34,-4.547372844739349,0.0,-60.86566038235797,-0.0429091357007398,1.3894383003220037,0.0466135691404899
557,9.283333,0,1293.95,1055.42,-4.547372844739349,0.0,-60.86566038235797,-0.0429941682993195,1.3894543996780075,0.0465705958594799
558,9.3,0,1292.01,1060.03,-4.547372844739349,0.0,-60.86566038235797,-0.0430727040000251,1.389475499999953,0.0465582270002372
559,9.316667,0,1289.53,1056.32,-4.547372844739349,0.0,-60.86566038235797,-0.0431086883455251,1.3894081997280112,0.0468978383959823
560,9.333333,0,1286.18,1054.18,-4.547372844739349,0.0,-60.86566038235797,-0.0431759646543808,1.389394600272008,0.0470176376038502
561,9.35,0,1283.28,1050.9,-4.547372844739349,0.0,-60.86566038235797,-0.0432577499999714,1.3893883000000022,0.0470307129999954
562,9.366667,0,1278.34,1051.63,-4.547372844739349,0.0,-60.86566038235797,-0.0433551472804867,1.3893746997600014,0.0469800885429084
563,9.383333,0,1274.75,1052.23,-4.547372844739349,0.0,-60.86566038235797,-0.0434691677195132,1.3893627002399986,0.0469072364570915
564,9.4,0,1267.76,1056.19,-4.547372844739349,0.0,-60.86566038235797,-0.043590683000006,1.3893366999999055,0.046828188000025
565,9.416667,0,1262.34,1054.04,-4.547372844739349,0.0,-60.86566038235797,-0.0436078816592483,1.3890667976939328,0.0468999220270407
566,9.433333,0,1256.96,1052.18,-4.547372844739349,0.0,-60.86566038235797,-0.0436908383408676,1.388951502305906,0.0469012739729611
567,9.45,0,1253.88,1052.52,-4.547372844739349,0.0,-60.86566038235797,-0.0437927699999288,1.3888923000000413,0.0468951050000043
568,9.466667,0,1251.03,1052.22,-4.547372844739349,0.0,-60.86566038235797,-0.0439077196463983,1.3888542995080115,0.0468884368150643
569,9.483333,0,1247.42,1053.22,-4.547372844739349,0.0,-60.86566038235797,-0.0440400373535091,1.3888297004920058,0.0468791901849421
570,9.5,0,1245.78,1053.74,-4.547372844739349,0.0,-60.86566038235797,-0.04419194,1.3888075,0.04685515
571,9.516667,0,1244.86,1053.28,-4.547372844739349,0.0,-60.86566038235797,-0.0444553978618249,1.3886150984939825,0.0470466285613265
572,9.533333,0,1243.93,1052.08,-4.547372844739349,0.0,-60.86566038235797,-0.0446484791383099,1.388539801505965,0.047074693438693
573,9.55,0,1243.69,1051.49,-4.547372844739349,0.0,-60.86566038235797,-0.0448296500001285,1.3884995999999887,0.0470272039999452
574,9.566667,0,1243.3,1051.77,-4.547372844739349,0.0,-60.86566038235797,-0.0450136397403276,1.3884835,0.0469488382654106
575,9.583333,0,1243.0,1050.01,-4.547372844739349,0.0,-60.86566038235797,-0.0452006562594111,1.3884835,0.0468621087347104
576,9.6,0,1242.44,1049.29,-4.547372844739349,0.0,-60.86566038235797,-0.0453862699999351,1.388503799999993,0.0467928570000241
577,9.616667,0,1243.64,1048.97,-4.547372844739349,0.0,-60.86566038235797,-0.0452585377284557,1.3885055009219949,0.0472215932934408
578,9.633333,0,1243.79,1046.06,-4.547372844739349,0.0,-60.86566038235797,-0.0452949592715442,1.3885515990780053,0.0473862597065591
579,9.65,0,1243.52,1043.29,-4.547372844739349,0.0,-60.86566038235797,-0.0453907850000434,1.388604900000019,0.0474540600000086
580,9.666667,0,1240.02,1044.75,-4.547372844739349,0.0,-60.86566038235797,-0.0455151678620633,1.3886591011480334,0.0474788301616447
581,9.683333,0,1236.93,1045.68,-4.547372844739349,0.0,-60.86566038235797,-0.0456582611381366,1.3887164988520466,0.0474869118383665
